Index,Player,Season,Team,S/C,Pos,GP,TOI,TOI/GP
258,Brett Ritchie,20-21,CGY,R,R,32,363:56,11:22
586,Erik Cernak,20-21,TBL,R,D,46,910:05,19:47
12,Brock Boeser,20-21,VAN,R,R,56,1081:54,19:19
140,Jean-Gabriel Pageau,20-21,NYI,R,C,54,906:40,16:47
1292,Brock McGinn,20-21,CAR,L,L,37,554:28,14:59
154,Nick Paul,20-21,OTT,L,L,56,900:36,16:04
287,Bryan Rust,20-21,PIT,R,R,56,1104:33,19:43
434,Pius Suter,20-21,CHI,L,C,55,898:21,16:20
1165,Dylan Larkin,20-21,DET,L,C,44,897:42,20:24
615,Cal Clutterbuck,20-21,NYI,R,R,50,671:49,13:26
515,Jakub Voracek,20-21,PHI,L,R,53,896:36,16:55
797,Cal Foote,20-21,TBL,R,D,35,451:07,12:53
1317,Jon Merrill,20-21,"DET,MTL",L,D,49,894:34,18:15
1243,Cale Makar,20-21,COL,R,D,44,1069:34,24:18
97,Jeff Carter,20-21,"LAK,PIT",R,C,54,894:31,16:33
1033,Caleb Jones,20-21,EDM,L,D,33,449:02,13:36
662,Phillip Danault,20-21,MTL,L,C,53,894:05,16:52
1007,Calle Jarnkrok,20-21,NSH,R,C,49,823:08,16:47
151,David Pastrnak,20-21,BOS,R,R,48,893:29,18:36
669,Calvin de Haan,20-21,CHI,L,D,44,819:09,18:37
1360,Ryan Murray,20-21,NJD,L,D,48,893:28,18:36
514,Marc-Edouard Vlasic,20-21,SJS,L,D,51,893:05,17:30
808,Cam Fowler,20-21,ANA,L,D,56,1218:35,21:45
319,Nick Schmaltz,20-21,ARI,R,C,52,886:59,17:03
884,Carl Grundstrom,20-21,LAK,L,R,47,586:19,12:28
1341,Sean Monahan,20-21,CGY,L,C,50,884:32,17:41
901,Carl Hagelin,20-21,WSH,L,L,56,789:39,14:06
871,Jordan Greenway,20-21,MIN,L,L,56,884:30,15:47
389,Carson Soucy,20-21,MIN,L,D,50,764:16,15:17
682,Dylan DeMelo,20-21,WPG,R,D,52,882:29,16:58
505,Carter Verhaeghe,20-21,FLA,L,C,43,762:32,17:44
772,Joel Farabee,20-21,PHI,L,L,55,881:00,16:01
606,Casey Cizikas,20-21,NYI,L,C,56,774:44,13:50
1377,Nino Niederreiter,20-21,CAR,L,R,56,880:11,15:43
1340,Casey Mittelstadt,20-21,BUF,L,C,41,651:10,15:52
826,Conor Garland,20-21,ARI,R,R,49,878:07,17:55
324,Justin Schultz,20-21,WSH,R,D,46,874:44,19:00
640,Charlie Coyle,20-21,BOS,R,C,51,830:45,16:17
1280,Charlie McAvoy,20-21,BOS,R,D,51,1223:47,23:59
893,Denis Gurianov,20-21,DAL,L,R,55,871:48,15:51
1120,Chris Kreider,20-21,NYR,L,L,50,869:52,17:23
447,Chris Tanev,20-21,CGY,R,D,56,1216:56,21:43
796,Nick Foligno,20-21,"CBJ,TOR",L,L,49,870:39,17:46
466,Chris Tierney,20-21,OTT,L,C,55,824:27,14:59
1123,Dominik Kubalik,20-21,CHI,L,L,56,868:57,15:31
786,Christian Fischer,20-21,ARI,R,R,52,662:58,12:44
1464,Matthew Benning,20-21,NSH,R,D,53,865:24,16:19
963,Nils Hoglander,20-21,VAN,L,L,56,864:47,15:26
1328,Colin Miller,20-21,BUF,R,D,48,864:00,18:00
736,Cody Eakin,20-21,BUF,L,C,46,594:58,12:56
55,Dustin Brown,20-21,LAK,R,R,49,863:26,17:37
261,Jason Robertson,20-21,DAL,L,L,51,861:13,16:53
5,Colin Blackwell,20-21,NYR,R,C,47,658:18,14:00
139,Max Pacioretty,20-21,VGK,L,L,48,861:05,17:56
260,Nick Ritchie,20-21,BOS,L,L,56,860:40,15:22
146,Colton Parayko,20-21,STL,R,D,32,682:36,21:19
565,Pavel Zacha,20-21,NJD,L,C,50,857:45,17:09
313,Colton Sceviour,20-21,PIT,R,C,46,440:39,9:34
362,Colton Sissons,20-21,NSH,R,C,54,775:01,14:21
803,Gustav Forsling,20-21,FLA,L,D,43,857:33,19:56
619,Ian Cole,20-21,"COL,MIN",L,D,54,857:27,15:52
613,Connor Clifton,20-21,BOS,R,D,44,801:32,18:13
655,Evgenii Dadonov,20-21,OTT,L,L,55,856:50,15:34
1287,Connor McDavid,20-21,EDM,L,C,56,1240:36,22:09
1400,Josh Anderson,20-21,MTL,R,R,52,853:45,16:25
1358,Connor Murphy,20-21,CHI,R,D,50,1107:16,22:08
624,Maxime Comtois,20-21,ANA,L,L,55,850:59,15:28
348,Conor Sheary,20-21,WSH,L,L,53,726:38,13:42
676,Danny DeKeyser,20-21,DET,L,D,47,850:41,18:05
171,Corey Perry,20-21,MTL,R,R,49,673:13,13:44
560,Kailer Yamamoto,20-21,EDM,R,R,52,850:38,16:21
375,Craig Smith,20-21,BOS,R,C,54,803:15,14:52
1173,Curtis Lazar,20-21,"BUF,BOS",R,C,50,666:11,13:19
281,Matt Roy,20-21,LAK,R,D,44,847:11,19:15
339,Damon Severson,20-21,NJD,R,D,56,1259:08,22:29
1031,Henri Jokiharju,20-21,BUF,R,D,46,845:30,18:22
395,Daniel Sprong,20-21,WSH,R,R,42,490:05,11:40
142,Kyle Palmieri,20-21,"NJD,NYI",R,C,51,845:15,16:34
783,Kevin Fiala,20-21,MIN,L,L,50,844:59,16:53
767,Dante Fabbro,20-21,NSH,R,D,40,772:36,19:18
940,Danton Heinen,20-21,ANA,L,L,43,634:52,14:45
108,Darnell Nurse,20-21,EDM,L,D,56,1435:00,25:37
215,Jesse Puljujarvi,20-21,EDM,R,R,55,832:03,15:07
946,Darren Helm,20-21,DET,L,C,47,689:51,14:40
1050,David Kampf,20-21,CHI,L,C,56,821:21,14:40
904,Nicolas Hague,20-21,VGK,L,D,52,831:45,15:59
309,David Savard,20-21,"CBJ,TBL",R,D,54,1071:41,19:50
1127,Dean Kukan,20-21,CBJ,L,D,35,496:37,14:11
1113,Jesperi Kotkaniemi,20-21,MTL,L,C,56,828:37,14:47
